genre,f0,f1,f2,f3,f4,f5,f6,f7
classical,68.6875,2.265283738666454,9.0,1.4475,0.28648371099709435,69.14583333333333,0.20833333333333334,1.327359485998487
classical,70.79166666666667,2.48292781923993,9.0,1.39125,0.25975649655013444,67.0,0.20833333333333334,1.367673079147932
classical,73.125,2.8476964374736293,12.0,1.3808333333333334,0.2951682665117569,68.39583333333333,0.25,1.4351848471523447
classical,67.75,2.322893310794392,11.0,1.3820833333333333,0.2857297552855767,69.47916666666667,0.25,1.406510117535184
classical,60.3125,4.128943821770082,14.0,1.3258333333333334,0.2810236743684694,69.35416666666667,0.3125,1.249717034518163
classical,67.85416666666667,3.207995112042549,13.0,1.4033333333333333,0.2822626830139298,68.52083333333333,0.2916666666666667,1.4052221043368824
classical,57.875,3.550968177835448,13.0,1.4118750000000002,0.2914093358862524,69.3125,0.25,1.2285276624044297
classical,70.85416666666667,2.661371696241537,12.0,1.42,0.25789209629869103,70.45833333333333,0.25,1.462059790860381
classical,68.97916666666667,5.569595973278093,22.0,1.501875,0.24113150155395843,69.1875,0.4583333333333333,1.4023197492156665
classical,64.29166666666667,5.664061901340965,18.0,1.437083333333333,0.33243394289525985,68.6875,0.3958333333333333,1.2189094116938302
classical,65.52083333333333,2.6456692862529554,12.0,1.366458333333333,0.2798845713216234,69.64583333333333,0.25,1.3719692719279581
classical,62.1875,2.927287211167819,14.0,1.4000000000000001,0.29339961372389933,70.60416666666667,0.2708333333333333,1.4279116370691503
classical,63.0,2.8722813232690143,12.0,1.3991666666666667,0.29908773331954325,71.95833333333333,0.2708333333333333,1.413252928120478
classical,70.77083333333333,1.4894012126429272,6.0,1.4516666666666669,0.2777313850147696,68.33333333333333,0.14583333333333334,1.3590399508656437
classical,72.52083333333333,4.173276007992868,16.0,1.4160416666666666,0.27129887872459446,69.02083333333333,0.3333333333333333,1.3036147814502461
classical,72.5,3.7859388972001824,14.0,1.3943750000000001,0.3060698875120953,69.58333333333333,0.2916666666666667,1.2655550942947276
classical,61.833333333333336,4.4503433076062295,17.0,1.3983333333333334,0.2921923833519431,68.3125,0.375,1.3755940319357116
classical,60.375,4.910129835350589,14.0,1.455,0.272710163604757,67.72916666666667,0.2916666666666667,1.2666277503095504
classical,71.6875,3.5948820680702913,13.0,1.4004166666666666,0.2551466762254388,69.04166666666667,0.2916666666666667,1.1342640795967522
classical,76.79166666666667,3.463851020019321,14.0,1.4185416666666668,0.27199869472215404,66.91666666666667,0.3125,1.4087613069997316
classical,68.0,2.958039891549808,12.0,1.340833333333333,0.2648335431087904,70.0,0.2708333333333333,1.2196519700397033
classical,61.291666666666664,3.645535702137006,15.0,1.4341666666666668,0.27599693033719697,68.20833333333333,0.3125,1.3160567739737972
classical,67.3125,2.218823355594882,8.0,1.3468749999999998,0.29523406145237824,68.6875,0.1875,1.3018773226194347
classical,64.20833333333333,4.004988209165609,15.0,1.3366666666666667,0.29127116041394985,68.27083333333333,0.3125,1.3603716904804921
classical,71.1875,2.6113234990453917,11.0,1.422291666666667,0.3206454401108627,68.5,0.25,1.2797832546231973
classical,60.5,5.236092690801669,17.0,1.35125,0.26603277523643587,70.72916666666667,0.3541666666666667,1.1536546137639114
classical,66.70833333333333,2.9718003335053016,12.0,1.4291666666666665,0.3051627525691095,68.22916666666667,0.25,1.3126124949095475
classical,62.083333333333336,4.540710908608426,17.0,1.4708333333333332,0.2762534564891853,68.3125,0.375,1.2822569509207966
classical,69.75,3.7332961307670196,14.0,1.3804166666666664,0.2745447620860556,68.79166666666667,0.2708333333333333,1.4039329094743507
classical,59.395833333333336,4.029782786398735,13.0,1.3810416666666667,0.26978571422004954,69.85416666666667,0.2708333333333333,1.1657555346215085
classical,69.20833333333333,2.6611270586392943,12.0,1.3604166666666668,0.28316631106510926,69.54166666666667,0.2708333333333333,1.49935854701684
classical,76.35416666666667,2.7875435970681344,11.0,1.3989583333333335,0.2697857142200495,70.1875,0.25,1.3623668590282656
classical,67.60416666666667,4.116732033893983,15.0,1.4729166666666667,0.28202362735928505,70.85416666666667,0.3333333333333333,1.328722978382638
classical,65.35416666666667,4.023315296148467,18.0,1.3714583333333332,0.2525452895301928,69.72916666666667,0.3333333333333333,1.4386503407980398
classical,67.70833333333333,3.8619853127058312,14.0,1.3720833333333333,0.28267294362134404,70.25,0.3125,1.1937668203494074
classical,62.770833333333336,4.248723255938842,15.0,1.4225,0.30639367378151483,69.72916666666667,0.3333333333333333,1.3516919297249865
classical,65.22916666666667,2.7021564176700723,11.0,1.438125,0.27329514151371226,69.625,0.25,1.2963018052534314
classical,63.854166666666664,2.7461304846800143,11.0,1.4956249999999998,0.276110683196069,69.22916666666667,0.25,1.2783675647489194
classical,71.64583333333333,1.6769215760500618,6.0,1.4193749999999998,0.28732535456342867,67.16666666666667,0.14583333333333334,1.3590399508656437
classical,67.625,3.186069940642651,13.0,1.4183333333333337,0.2890309479777017,68.89583333333333,0.2916666666666667,1.3365360659182477
jazz,72.64583333333333,2.8902824496731956,11.0,0.8660416666666667,0.3884302789397632,78.54166666666667,0.25,1.2347760109401624
jazz,59.145833333333336,4.344486847974364,15.0,0.8558333333333333,0.321006446802691,79.85416666666667,0.3333333333333333,1.2705530746241376
jazz,61.4375,3.3285773362404147,12.0,0.9504166666666666,0.3771270692868504,80.6875,0.2708333333333333,1.4237842573890729
jazz,65.77083333333333,2.1236719706416265,9.0,0.8910416666666666,0.3327864654658032,80.91666666666667,0.20833333333333334,1.3446404518574435
jazz,58.0625,3.023561986024651,14.0,0.9231250000000001,0.29744156463917415,78.39583333333333,0.3125,1.3259945915645006
jazz,56.541666666666664,4.066931343845818,17.0,0.9347916666666668,0.36287618172579045,81.22916666666667,0.3333333333333333,1.4158131710309894
jazz,68.8125,1.5766030202093784,6.0,0.8658333333333333,0.4076857109206661,79.41666666666667,0.14583333333333334,1.4215568585948992
jazz,67.85416666666667,2.415139603740445,10.0,0.8835416666666666,0.43608814850198446,78.52083333333333,0.22916666666666666,1.3112322500536682
